Date,Rate_1Y,Rate_3Y,Rate_5Y
2021-01-01,2.86,2.94,3.3
2021-02-01,2.79,2.88,3.25
2021-03-01,2.78,2.9,3.26
2021-04-01,2.79,2.92,3.25
2021-05-01,2.79,2.92,3.25
2021-06-01,2.8,2.92,3.26
2021-07-01,2.750202762923352,2.8698239750445635,3.201818181818182
2021-08-01,2.76,2.8698239750445635,3.201818181818182
2021-09-01,2.75,2.85,3.22
2021-10-01,2.74,2.88,3.29
2021-11-01,2.74,2.98,3.4
2021-12-01,2.75,3.0,3.45
2022-01-01,2.77,3.03,3.44
2022-02-01,2.82,3.14,3.58
2022-03-01,2.95,3.31,3.77
2022-04-01,3.23,3.72,4.19
2022-05-01,3.65,4.17,4.63
2022-06-01,4.19,4.68,5.05
2022-07-01,4.82,5.2,5.51
2022-08-01,5.03,5.35,5.58
2022-09-01,5.21,5.39,5.64
2022-10-01,5.55,5.58,5.75
2022-11-01,5.85,5.78,5.88
2022-12-01,6.04,5.86,5.89
2023-01-01,6.09,5.86,5.86
2023-02-01,6.18,5.86,5.81
2023-03-01,6.17,5.9,5.81
2023-04-01,6.19,5.8,5.75
2023-05-01,6.22,5.8,5.74
2023-06-01,6.49,5.98,5.85
2023-07-01,6.83,6.26,5.99
2023-08-01,7.09,6.44,6.17
2023-09-01,7.22,6.64,6.27
2023-10-01,7.39,6.76,6.42
2023-11-01,7.47,6.81,6.47
2023-12-01,7.45,6.73,6.39
2024-01-01,7.44,6.67,6.31
2024-02-01,7.41,6.54,6.15
2024-03-01,7.41,6.49,6.13
2024-04-01,7.39,6.4,6.08
2024-05-01,7.37,6.37,6.05
2024-06-01,7.35,6.24,5.98
2024-07-01,7.32,6.15,5.91
2024-08-01,7.21,5.93,5.73
2024-09-01,7.05,5.78,5.55
2024-10-01,6.84,5.64,5.44
2024-11-01,6.77,5.53,5.38
2024-12-01,6.68,5.47,5.35
2025-01-01,6.59,5.42,5.31
2025-02-01,6.45,5.37,5.29
2025-03-01,6.34,5.28,5.22
2025-04-01,,,
2025-05-01,,,
2025-06-01,,,
2025-07-01,,,
2025-08-01,,,
2025-09-01,,,
2025-10-01,,,
2025-11-01,,,
2025-12-01,,,
